YYYYMM,PROPS,ROOMS
198701,3,331
198702,2,127
198706,1,141
198712,1,350
198801,1,44
198802,1,100
198803,1,21
198804,2,245
198805,1,100
198806,3,646
198808,2,226
198809,1,93
198810,3,373
198812,3,443
198901,4,677
198902,3,394
198903,4,814
198904,3,263
198905,4,198
198906,6,446
198907,1,149
198908,2,150
198911,3,392
198912,2,163
199001,10,937
199002,5,253
199003,6,618
199004,5,327
199005,10,900
199006,23,2423
199007,6,541
199008,4,220
199009,5,511
199010,9,578
199011,55,6244
199012,30,3044
199101,34,2827
199102,18,2296
199103,49,4907
199104,29,1598
199105,11,1995
199106,17,1121
199107,3,428
199108,6,294
199109,18,2501
199110,5,556
199111,5,767
199112,8,1292
199201,12,1225
199202,16,1247
199203,20,1497
199204,19,831
199205,13,1840
199206,18,1101
199207,16,1302
199208,23,1661
199209,19,2743
199210,23,1638
199211,12,530
199212,25,2787
199301,19,1330
199302,10,558
199303,16,1625
199304,17,1739
199305,23,1654
199306,38,2186
199307,14,1000
199308,10,1577
199309,1,48
199310,3,328
199311,5,227
199312,4,444
199401,11,1183
199402,7,895
199403,5,275
199404,11,1338
199405,4,302
199406,23,2200
199407,9,892
199408,22,2653
199409,11,1567
199410,1,112
199411,2,63
199412,18,1054
199501,25,2285
199502,12,1358
199503,8,560
199504,4,563
199505,5,227
199506,38,3729
199507,3,431
199508,2,155
199509,6,1489
199510,45,4848
199511,5,535
199512,16,1553
199601,17,1514
199602,3,182
199603,4,168
199604,8,468
199605,6,448
199606,40,3747
199607,5,364
199608,7,243
199609,5,696
199610,9,672
199611,9,578
199612,29,3268
199701,17,1263
199702,6,679
199703,5,493
199704,7,708
199705,3,323
199706,34,2993
199707,7,597
199708,7,1138
199709,15,1202
199710,6,541
199711,10,1581
199712,2,263
199801,23,2299
199802,3,470
199803,1,70
199804,10,2606
199805,9,743
199806,91,8174
199807,3,297
199808,6,1099
199809,93,7997
199810,2,238
199811,3,260
199812,8,773
199901,43,5189
199902,6,374
199903,13,1381
199904,10,475
199905,26,2605
199906,102,6319
199907,4,213
199908,21,1739
199909,8,522
199910,14,1356
199911,8,1477
199912,46,4474
200001,30,2879
200002,12,1571
200003,5,536
200004,15,920
200005,7,1870
200006,94,7147
200007,13,1933
200008,14,1507
200009,7,746
200010,14,1940
200011,11,957
200012,23,2172
200101,61,3864
200102,10,498
200103,11,939
200104,12,1377
200105,17,1610
200106,181,10692
200107,28,1818
200108,22,2112
200109,41,4129
200110,22,2552
200111,14,1828
200112,29,2958
200201,34,3102
200202,26,2051
200203,20,1182
200204,24,2126
200205,11,546
200206,79,5052
200207,23,2652
200208,21,1461
200209,38,3796
200210,28,2019
200211,18,1590
200212,29,2265
200301,46,3499
200302,33,2467
200303,36,2565
200304,33,2179
200305,29,1961
200306,98,5717
200307,31,2107
200308,29,1879
200309,49,3942
200310,34,2043
200311,30,3034
200312,47,3690
200401,65,4661
200402,45,2497
200403,37,1995
200404,38,2975
200405,44,2726
200406,139,9301
200407,50,3057
200408,53,3000
200409,90,7889
200410,58,4243
200411,46,2793
200412,56,4442
200501,67,4617
200502,67,5333
200503,53,3713
200504,50,4197
200505,57,5043
200506,143,8330
200507,51,4310
200508,48,3539
200509,135,13017
200510,61,5049
200511,52,3563
200512,60,4163
200601,85,6066
200602,47,4269
200603,49,3307
200604,47,3171
200605,65,3919
200606,103,6890
200607,47,3398
200608,49,4117
200609,66,4217
200610,40,3249
200611,47,6322
200612,51,4055
200701,58,3882
200702,32,2313
200703,39,3266
200704,29,1783
200705,31,2436
200706,82,5482
200707,26,2096
200708,33,3513
200709,38,3022
200710,38,3176
200711,28,2126
200712,34,2554
200801,48,3331
200802,20,1630
200803,26,1748
200804,24,1831
200805,29,1789
200806,71,4039
200807,28,1868
200808,30,2250
200809,31,2858
200810,31,1756
200811,33,2069
200812,36,2822
200901,58,4156
200902,27,1699
200903,28,2262
200904,29,2028
200905,30,1930
200906,86,4713
200907,28,1719
200908,28,2037
200909,31,3054
200910,27,1670
200911,37,3058
200912,30,3202
201001,57,4610
201002,41,2365
201003,30,2099
201004,34,2223
201005,29,1637
201006,54,2523
201007,26,2363
201008,21,1254
201009,38,2944
201010,40,2563
201011,24,1256
201012,28,1649
201101,51,3610
201102,26,1181
201103,30,2000
201104,32,2203
201105,37,2014
201106,41,2811
201107,35,2745
201108,24,2062
201109,35,2122
201110,36,2741
201111,13,1119
201112,22,2394
201201,29,3047
201202,15,1298
201203,26,2468
201204,10,997
201205,11,821
201206,11,716
201207,11,1270
201208,11,989
201209,9,690
201210,8,964
201211,17,2896
201212,13,1727
201301,25,2882
201302,8,921
201303,10,1056
201304,12,1174
201305,14,1279
201306,12,1271
201307,15,2392
201308,15,1663
201309,15,1623
201310,14,1378
201311,11,1341
201312,12,1728
201401,19,2463
201402,14,2541
201403,6,798
201404,11,1855
201405,10,881
201406,12,2467
201407,9,1344
